#,项目,跟踪,父任务,状态,优先级,主题,作者,指派给,更新于,类别,目标版本,开始日期,计划完成日期,预期时间,耗时,% 完成,创建于,结束日期,相关的问题,Bug类型,Bug严重程度,Bug引入阶段,Bug发现阶段,私有,描述
7806,四川后台管理系统4.0优化,Bug,,已关闭,中,超女养成-历届选手：视频无编排图时默认先取视频的海报图,夏 志远,张 夏,2016/5/4 11:07,epg,,2016/4/25,2016/4/27,1,1,100,2016/4/25 17:25,2016/4/27 15:13,,功能类,一般,开发,测试,FALSE,
7805,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成：小视频窗口，中兴盒子分辨率不对，九洲4k盒子无法播放,夏 志远,张 夏,2016/4/28 10:26,epg,,2016/4/25,2016/4/28,1,2,100,2016/4/25 17:19,2016/4/28 10:26,,功能类,一般,开发,测试,FALSE,
7801,四川后台管理系统4.0优化,Bug,,新建,中,超女养成-详情页：左侧视频列表翻页后会自动选中该页的第一个视频，预期：不自动选中,夏 志远,罗 华华,2016/5/4 15:54,epg,,2016/4/25,2016/4/27,,8,0,2016/4/25 16:59,2016/4/27 16:58,,功能类,一般,开发,测试,FALSE,
7800,四川后台管理系统4.0优化,Bug,,反馈协商,中,超女养成-历届选手：点击更多精彩，从更多精彩返回后需仍回到历届选手页,夏 志远,张 夏,2016/5/6 10:35,epg,,2016/4/25,2016/5/6,1,1,0,2016/4/25 16:35,2016/5/6 10:35,,功能类,一般,开发,测试,FALSE,
7799,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成--历届选手：连播到最后一个视频结束就返回到历届选手页，不需循环播放,夏 志远,张 夏,2016/5/4 12:18,epg,,2016/4/25,2016/4/27,1,2,100,2016/4/25 16:31,2016/4/27 14:59,,功能类,一般,开发,测试,FALSE,
7798,四川后台管理系统4.0优化,Bug,,已关闭,中,超女养成-历届选手：在历届选手页切换导航后返回，需直接回到首页，实际：逐级返回,夏 志远,张 夏,2016/5/4 11:09,epg,,2016/4/25,2016/4/27,1,1,100,2016/4/25 16:30,2016/4/27 14:54,,功能类,一般,测试,开发,FALSE,
7796,四川后台管理系统4.0优化,Bug,,已关闭,高,EPG-现网营业厅订购失败,谢 佳作,沈 玮,2016/5/3 11:03,epg,,2016/4/25,,,0,100,2016/4/25 15:26,2016/4/25 16:01,,功能类,严重,开发,已上线,FALSE,电信营业厅订购熊猫包时段产品，中兴和华为平台均订购失败。
7793,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成-投票页：中兴盒子，左右翻页时光标都会先跳到投票规则按钮上,夏 志远,罗 华华,2016/4/26 18:39,epg,,2016/4/25,,,0,0,2016/4/25 15:12,2016/4/26 18:39,,功能类,一般,,,FALSE,
7792,四川后台管理系统4.0优化,Bug,,已关闭,中,超女养成-投票页：点击投票规则，专题页面未显示出来,夏 志远,罗 华华,2016/5/3 11:03,epg,,2016/4/25,,,0,100,2016/4/25 15:11,2016/4/26 17:54,,功能类,一般,开发,测试,FALSE,
7745,四川后台管理系统4.0优化,Feature,,打回,高,多剧集详情页中，当内容显示标签为免费时，不显示免费的提示，包括左上角文字和第一集免费的图片,吴 彦泽,沈 玮,2016/5/5 18:06,epg,2016.4.22,2016/4/15,,,0,0,2016/4/15 21:59,2016/4/27 13:44,,,,,,FALSE,
7744,四川后台管理系统4.0优化,Bug,,已解决,中,多剧集内容中新增显示标签（火热新免费）,吴 彦泽,沈 玮,2016/4/27 14:10,DCMS 4.0,2016.4.7,2016/4/15,,,0,0,2016/4/15 21:58,2016/4/27 14:10,,功能类,一般,,,FALSE,
7732,四川后台管理系统4.0优化,Feature,,已解决,中,列表页标题文字滚动,夏 志远,罗 华华,2016/4/29 10:49,epg,,2016/4/14,,,0,0,2016/4/14 17:14,2016/4/29 10:49,,,,,,FALSE,"滚动触发：标题超过18个字符时，光标选中该内容，则触发标题文字滚动。
滚动方式：自当前标题首个文字位置开始由右向左循环滚动，当完成一个循环时，停顿一秒，继续滚动…  滚动速度为普通
当光标移出该内容时，则还原为滚动前状态。
适用范围：现网电影、电视剧、少儿动画、纪录片、幼乐园等同类列表页模板"
7717,四川后台管理系统4.0优化,Feature,,已解决,中,央视包跳转的需求--华为平台EPG跳转页面,吴 彦泽,沈 玮,2016/4/22 15:30,厂商EPG,,2016/4/13,,,0,0,2016/4/13 16:51,2016/4/22 15:30,,,,,,FALSE,"1、从杨是模板包跳转到厂商的一个跳转页面；
2、从跳转页面跳转到bizjump.jsp
3、最终访问到我们的看吧页面

To佳作：此页面需要通过C1接口下发，会重新建一个分组"
7698,四川后台管理系统4.0优化,Bug,,新建,中,内容编排：当栏目下编排的内容超过800条，用户使用画面排序时，提示用户不可使用,夏 志远,张 晓波,2016/4/12 17:30,DCMS 4.0,,2016/4/12,,,0,0,2016/4/12 17:30,,,功能类,一般,开发,已上线,FALSE,
7686,四川后台管理系统4.0优化,Bug,,新建,高,DCMS-新闻下娱乐栏目画面排序时浏览器页面无响应或报404错误,谢 佳作,张 晓波,2016/4/12 10:23,DCMS 4.0,,2016/4/12,,,0,0,2016/4/12 10:23,,,功能类,一般,,,FALSE,新闻预览栏目下共编排有内容2360条，进行画面排序时，浏览器页面出现无响应或者报404错误。
7685,四川后台管理系统4.0优化,Bug,,已关闭,高,epg-少儿动漫您可能还会喜欢推荐异常,谢 佳作,沈 玮,2016/4/27 14:57,epg,,2016/4/12,,,0,0,2016/4/12 10:20,2016/4/12 17:01,,功能类,一般,,,FALSE,少儿动画下，类型为“动漫”的内容，“您可能还会喜欢”推荐内容只有一个或为空
7684,四川后台管理系统4.0优化,Bug,,已解决,中,EPG电影模板-列表页内容长标题显示折行,谢 佳作,罗 华华,2016/4/15 9:14,,,2016/4/12,,,0,0,2016/4/12 10:17,2016/4/15 9:14,,功能类,一般,,,FALSE,"中兴4K机顶盒
少儿动画列表页，长标题显示折行。如附件图"
7683,四川后台管理系统4.0优化,Bug,,已关闭,中,类型为动漫的内容，猜你喜欢显示不全,夏 志远,沈 玮,2016/4/27 14:56,DCMS 4.0,,2016/4/12,,,0,0,2016/4/12 9:40,2016/4/12 17:01,,功能类,较重,开发,已上线,FALSE,
7682,四川后台管理系统4.0优化,Bug,,处理中,高,4k机顶盒少儿列表页折行,夏 志远,罗 华华,2016/4/12 12:55,epg,,2016/4/11,,,0,0,2016/4/11 17:52,2016/4/12 12:55,,界面类,一般,,,FALSE,
7623,四川后台管理系统4.0优化,Bug,,新建,中,epg-内容搜索时去掉main_folder为空的判断,谢 佳作,沈 玮,2016/4/6 13:30,epg,,2016/4/6,,,0,0,2016/4/6 13:30,,,功能类,一般,,,FALSE,
7620,四川后台管理系统4.0优化,Bug,,已关闭,中,添加评论页面，限制每个选手最多可编50条评论,夏 志远,罗 华华,2016/4/28 16:44,,,2016/4/6,,,0,100,2016/4/6 9:56,2016/4/28 16:44,,功能类,一般,,,FALSE,
7617,四川后台管理系统4.0优化,Bug,,已关闭,中,添加评论页面，一个选手的评论数超过10个，则会超出页面，未做翻页,夏 志远,罗 华华,2016/4/28 16:44,,,2016/4/5,,,0,100,2016/4/5 16:34,2016/4/28 16:44,,功能类,一般,,,FALSE,
7616,四川后台管理系统4.0优化,Bug,,已关闭,中,超女详情页：评论的位置不对，偏下,夏 志远,罗 华华,2016/4/28 16:45,epg,,2016/4/5,,,0,100,2016/4/5 16:31,2016/4/28 16:45,,功能类,一般,,,FALSE,
7615,四川后台管理系统4.0优化,Bug,,已关闭,中,超女详情页：字数超长会折行，且能看到第二行字的顶部,夏 志远,罗 华华,2016/4/28 16:45,epg,,2016/4/5,,,0,100,2016/4/5 16:30,2016/4/28 16:45,,界面类,一般,,,FALSE,
7610,四川后台管理系统4.0优化,Feature,,已解决,中,日志格式做encoding,吴 彦泽,沈 玮,2016/4/25 16:02,epg,2016.4.7,2016/4/5,,,0,0,2016/4/5 13:37,2016/4/25 16:02,,,,,,FALSE,logon日志中“机顶盒User-Agent”字段需要做encoding 
7609,四川后台管理系统4.0优化,Feature,,已关闭,中,IPTV少儿幼乐园影视包时段需求,吴 彦泽,沈 玮,2016/4/27 14:57,epg,2016.4.7,2016/4/5,,,0,0,2016/4/5 13:17,2016/4/5 13:48,,,,,,FALSE,
7606,四川后台管理系统4.0优化,Bug,,新建,中,专栏图片需要增加删除按钮,吴 彦泽,张 晓波,2016/4/1 21:49,,2016.4.7,2016/4/1,,,0,0,2016/4/1 21:49,,,功能类,一般,已上线,已上线,FALSE,"目前专栏添加图只有修改，没有删除，需要增加删除。
同时所有绑定参数，绑定图的地方都需要可以删除。"
7574,四川后台管理系统4.0优化,Feature,,新建,中,内容海报图、编排图上传限制大小，具体值可以在后台配置,吴 彦泽,张 晓波,2016/3/30 11:10,DCMS 4.0,2016.4.7,2016/3/30,,,0,0,2016/3/30 11:08,,,,,,,FALSE,
7557,四川后台管理系统4.0优化,Feature,,已关闭,中,专栏新增属性,吴 彦泽,张 晓波,2016/4/27 15:02,,2016.4.7,2016/3/29,,,0,0,2016/3/29 10:43,2016/3/29 10:55,,,,,,FALSE,专栏属性与内容属性统一，并新增期数。
7556,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票：选项页不能循环翻页，预期：能循环翻页,夏 志远,罗 华华,2016/4/27 15:03,epg,,2016/3/29,,,0,100,2016/3/29 10:07,2016/3/29 10:33,,功能类,一般,,,FALSE,
7554,四川后台管理系统4.0优化,Bug,,已关闭,中,超女详情页：下方推荐编排了多剧集，则无法翻页,夏 志远,罗 华华,2016/4/27 15:03,epg,,2016/3/28,,,0,100,2016/3/28 17:04,2016/3/29 10:32,,功能类,一般,,,FALSE,
7552,四川后台管理系统4.0优化,Bug,,已解决,中,投票详情页：即时排名、距上一名票数过长会折行,夏 志远,罗 华华,2016/3/28 17:12,epg,,2016/3/28,,,0,0,2016/3/28 15:17,2016/3/28 17:12,,功能类,一般,,,FALSE,
7551,四川后台管理系统4.0优化,Bug,,已关闭,中,投票详情页：只有在第一次点投票的时候才会弹出提示框,夏 志远,罗 华华,2016/4/27 15:36,epg,,2016/3/28,,,0,100,2016/3/28 14:52,2016/3/29 10:33,,功能类,一般,,,FALSE,
7518,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-栏目：4K盒子在搜索框内输第9个数字是会闪一下，中兴盒子在搜索框内按返回会删除两个数字,夏 志远,罗 华华,2016/4/27 15:00,epg,3,2016/3/22,,,0,100,2016/3/22 18:44,2016/3/24 16:16,,功能类,一般,,,FALSE,
7516,四川后台管理系统4.0优化,Bug,,已关闭,中,投票跳转：不论用什么 方式都要能正常跳转，实际只有专辑能正常跳转,夏 志远,罗 华华,2016/4/27 15:36,epg,3,2016/3/22,,,0,100,2016/3/22 16:19,2016/3/24 16:16,,功能类,一般,,,FALSE,
7514,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目：点击选项播放，播放完成后未自动退出,夏 志远,罗 华华,2016/4/27 15:35,epg,3,2016/3/22,,,0,100,2016/3/22 11:27,2016/3/29 10:33,,功能类,一般,,,FALSE,
7513,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目：左侧导航未取到展示栏目下编的图,夏 志远,罗 华华,2016/4/27 15:35,epg,3,2016/3/22,,,0,100,2016/3/22 11:19,2016/3/22 12:26,,功能类,一般,,,FALSE,
7512,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目：票数最大显示9位，实际未做限制,夏 志远,罗 华华,2016/4/27 15:00,epg,3,2016/3/22,,,0,100,2016/3/22 11:16,2016/3/22 12:26,,功能类,一般,,,FALSE,
7511,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目：点击搜索，焦点跳到了投票结果上，且在投票结果点击翻页，焦点也会跳到投票结果上,夏 志远,罗 华华,2016/4/27 14:57,epg,3,2016/3/22,,,0,0,2016/3/22 11:08,2016/3/22 12:26,,功能类,一般,开发,测试,FALSE,
7510,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目:搜索框内最大能输入8个字符，实际未进行限制，且输入的数字颜色应为白色,夏 志远,罗 华华,2016/4/27 14:58,epg,3,2016/3/22,,,0,0,2016/3/22 11:04,2016/3/22 12:56,,功能类,一般,,,FALSE,
7509,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目：返回时，列表页返回到了上一栏目，但光标仍在原栏目上,夏 志远,罗 华华,2016/4/27 14:58,epg,3,2016/3/22,,,0,0,2016/3/22 10:08,2016/3/22 13:22,,功能类,一般,,,FALSE,
7508,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-带栏目:页数与翻页键距离不对,夏 志远,罗 华华,2016/4/27 14:58,epg,,2016/3/21,,,0,0,2016/3/21 18:36,2016/3/22 12:24,,功能类,一般,,,FALSE,
7507,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-分栏目:添加的编排图显示不出，不编排图片时未自动取海报图,夏 志远,罗 华华,2016/4/27 14:58,epg,,2016/3/21,,,0,0,2016/3/21 18:22,2016/3/22 9:18,,功能类,一般,,,FALSE,
7506,四川后台管理系统4.0优化,Bug,,已关闭,中,超女连播：4K盒子在播放时按返回，仍会跳出提示框，但不用点确定就能退出,夏 志远,罗 华华,2016/4/27 14:58,epg,,2016/3/21,,,0,0,2016/3/21 15:55,2016/3/22 9:10,,功能类,一般,,,FALSE,
7505,四川后台管理系统4.0优化,Bug,,已关闭,中,超女连播：4K盒子播完栏目下最后一条时未退出,夏 志远,罗 华华,2016/4/27 14:59,epg,,2016/3/21,,,0,0,2016/3/21 15:52,2016/3/22 9:10,,功能类,一般,,,FALSE,
7504,四川后台管理系统4.0优化,Bug,,处理中,中,超女连播，播到最后一条视频时，仍有播放下一条的提示,夏 志远,罗 华华,2016/3/21 13:38,epg,,2016/3/21,,,0,0,2016/3/21 13:32,2016/3/21 13:38,,功能类,一般,,,FALSE,
7493,四川后台管理系统4.0优化,Bug,,已关闭,中,超女连播:4K盒子在播放过程中，遥控器按返回，退出提示框 显示不出,夏 志远,罗 华华,2016/4/27 14:59,epg,,2016/3/21,,,0,0,2016/3/21 10:15,2016/3/21 10:27,,功能类,严重,,,FALSE,
7478,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-中兴盒子点投票无反映,夏 志远,罗 华华,2016/4/27 14:59,epg,3,2016/3/17,,,0,0,2016/3/17 9:36,2016/3/17 9:58,,功能类,一般,,,FALSE,
7469,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票：有编排图的选项未优先显示编排图,夏 志远,罗 华华,2016/4/27 14:59,epg,3,2016/3/16,,,0,0,2016/3/16 15:42,2016/3/17 9:59,,功能类,一般,,,FALSE,
7468,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票：进入投票页面，焦点在第一个左侧分类上，实际在搜索框上,夏 志远,罗 华华,2016/4/27 14:59,epg,3,2016/3/16,,,0,0,2016/3/16 15:35,2016/3/17 10:45,,功能类,一般,,,FALSE,
7467,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票，页数显示及票数显示需向上移,夏 志远,罗 华华,2016/4/27 15:00,epg,3,2016/3/16,,,0,100,2016/3/16 15:34,2016/3/17 11:00,,功能类,一般,,,FALSE,
7465,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-无栏目:光标在右上功能区上时，下侧超出范围,夏 志远,罗 华华,2016/4/27 15:00,epg,3,2016/3/15,,,0,100,2016/3/15 19:13,2016/3/17 11:25,,功能类,一般,,,FALSE,
7464,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-无栏目：光标在选项上时，右侧和下侧超出范围,夏 志远,罗 华华,2016/4/27 15:35,epg,3,2016/3/15,,,0,100,2016/3/15 19:11,2016/3/17 10:30,,功能类,一般,,,FALSE,
7463,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票-无栏目：页数显示底部切边，且当页数为两位时页字会到底图上,夏 志远,罗 华华,2016/4/27 15:00,epg,3,2016/3/15,,,0,100,2016/3/15 19:10,2016/3/17 10:30,,功能类,一般,,,FALSE,
7462,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票：选项票数，需把“票”字去掉，最大显示9位,夏 志远,罗 华华,2016/4/27 15:01,epg,3,2016/3/15,,,0,100,2016/3/15 17:13,2016/3/17 10:31,,功能类,一般,,,FALSE,
7461,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票：剩余投票次数被图片遮住,夏 志远,罗 华华,2016/4/27 15:01,epg,3,2016/3/15,,,0,100,2016/3/15 16:59,2016/3/17 11:00,,功能类,一般,,,FALSE,
7460,四川后台管理系统4.0优化,Bug,,已关闭,中,超女投票:光标移到左侧导航，停留2秒右侧自动显示改导航下的选手，不需按确定键,夏 志远,罗 华华,2016/4/27 15:01,epg,3,2016/3/15,,,0,100,2016/3/15 16:58,2016/3/17 11:25,,功能类,一般,,,FALSE,
7378,四川后台管理系统4.0优化,Feature,,新建,中,AAA升级；EPG升级,吴 彦泽,谢 佳作,2016/3/8 13:52,框架类升级,3,2016/3/8,,,0,0,2016/3/8 13:52,,,,,,,FALSE,"AAA
积分兑换（现网上已存在）、兑换码、用户探针接口，用户登陆接口修改，兑换码bug修改、鉴权，订购查询，白名单功能增加开关、aaa代码优化
EPGPS
积分和兑换、数组越界、现网探针鉴权日志、现网探针订购、4K订购页面、凤凰订购、积分兑换升级、凤凰、地址错误，需要升级
EPG
凤凰升级需改动、web.xml现网未升级、外部链接与图文升级、外部链接、频道改版"
7338,四川后台管理系统4.0优化,Feature,,待升级,中,新增投票开始时间,吴 彦泽,张 晓波,2016/3/7 17:45,DCMS 4.0,20160308,2016/3/3,,,0,0,2016/3/3 16:57,2016/3/7 14:38,,,,,,FALSE,"投票可设置开始时间、结束时间，精确到小时；
"
7290,四川后台管理系统4.0优化,Feature,,已关闭,中,投票次数与包时段订购挂钩，用户包时段可额外获送投票次数,夏 志远,沈 玮,2016/4/27 15:01,epg,,2016/2/26,,,0,100,2016/2/26 11:19,2016/4/5 13:52,,,,,,FALSE,
7289,四川后台管理系统4.0优化,Feature,,已关闭,中,投票:投票结果页面：在投票内容本身可播放的情况下，在投票结果页面也可以进行点击播放,夏 志远,沈 玮,2016/4/27 15:02,epg,,2016/2/26,,,0,100,2016/2/26 11:19,2016/4/5 13:52,,,,,,FALSE,
7280,四川后台管理系统4.0优化,Bug,,已关闭,中,投票结果页，每一页的序号都是1-10，预期：序号按顺序依次往后,夏 志远,沈 玮,2016/3/3 15:27,epg,,2016/2/25,,,0,100,2016/2/25 16:10,2016/2/26 11:27,,界面类,一般,开发,测试,FALSE,
7279,四川后台管理系统4.0优化,Bug,,已关闭,中,投票结果页，选项和得票率未上下居中,夏 志远,沈 玮,2016/3/3 15:27,epg,,2016/2/25,,,0,100,2016/2/25 16:07,2016/2/26 11:27,,界面类,一般,开发,测试,FALSE,
7277,四川后台管理系统4.0优化,Bug,,已关闭,中,投票：投票结果页，字体字号为黑体22,夏 志远,沈 玮,2016/3/3 15:27,epg,,2016/2/25,,,0,100,2016/2/25 14:12,2016/2/26 11:27,,界面类,一般,开发,测试,FALSE,
7276,四川后台管理系统4.0优化,Bug,,已关闭,中,投票：当剩余投票次数超过1位数时，显示错位,夏 志远,沈 玮,2016/3/3 15:28,epg,,2016/2/25,,,0,100,2016/2/25 13:59,2016/2/26 11:28,,功能类,一般,开发,测试,FALSE,!次数超两位.png!
7275,四川后台管理系统4.0优化,Bug,,已关闭,中,投票：dcms中限制投票数为0时，页面点击投票，剩余投票次数显示为负,夏 志远,沈 玮,2016/4/27 15:03,epg,,2016/2/25,,,0,100,2016/2/25 13:57,2016/4/5 13:52,,功能类,一般,开发,测试,FALSE,
7274,四川后台管理系统4.0优化,Bug,,已关闭,中,投票管理：新建候选项，从第三个候选项之后，若选项类型为展示栏目，在选择选项内容时报错,夏 志远,沈 玮,2016/3/3 15:28,DCMS 4.0,,2016/2/25,,,0,100,2016/2/25 13:08,2016/2/26 13:44,,功能类,一般,开发,测试,FALSE,
7242,四川后台管理系统4.0优化,Bug,,待升级,中,新增的subscriberLogin.log日志未记录,夏 志远,曾 宝亮,2016/3/2 15:55,,2.3,2016/2/24,,,0,0,2016/2/24 15:03,2016/2/29 16:11,,功能类,一般,,,FALSE,
7237,四川后台管理系统4.0优化,Bug,,待升级,中,新增的authRecord.log日志，鉴权失败的时候未记内容名称、产品编码、产品名称,夏 志远,曾 宝亮,2016/3/2 15:55,,2.3,2016/2/24,,,0,0,2016/2/24 11:16,2016/2/29 16:12,,功能类,一般,,,FALSE,
7236,四川后台管理系统4.0优化,Bug,,待升级,中,中兴平台凤凰订购显示订购成功，但再次鉴权还是失败,夏 志远,曾 宝亮,2016/3/3 10:00,,2.3,2016/2/24,,,0,0,2016/2/24 11:09,2016/3/2 16:39,,功能类,一般,,,FALSE,
7235,四川后台管理系统4.0优化,Bug,,待升级,中,中兴平台单片订购失败,夏 志远,曾 宝亮,2016/3/3 10:00,,2.3,2016/2/24,,,0,0,2016/2/24 10:50,2016/3/2 16:39,,功能类,一般,,,FALSE,
7234,四川后台管理系统4.0优化,Bug,,反馈协商,中,aaa日志，鉴权失败的时候没有记内容包code参数，原来是有的,夏 志远,沈 玮,2016/4/5 13:49,,2.3,2016/2/24,,,0,0,2016/2/24 10:33,2016/4/5 13:49,,功能类,一般,开发,测试,FALSE,
7231,四川后台管理系统4.0优化,Feature,,新建,高,写定时任务，定时清理history、bookmark、seriesmark表数据；,谢 佳作,沈 玮,2016/2/23 17:44,epg,,2016/2/23,,,0,0,2016/2/23 17:44,,,,,,,FALSE,定时清理数据库history、bookmark、seriesmark表中的数据，只保留当前日期前3个月的数据。
7228,四川后台管理系统4.0优化,Bug,,待升级,中,4k机顶盒，凤凰订购页光标,夏 志远,沈 玮,2016/3/2 15:56,epg,2.3,2016/2/23,,,0,0,2016/2/23 16:11,2016/2/26 16:42,,功能类,一般,,,FALSE,"在订购页，切换页面之后，光标总停留在上一个页面的选中位置
重现步骤
1.从订购页，选择单月订购，再进入单月确认订购页
现象：
光标显示在上一页的选中位置
期望：
切换页面后，光标停留在当前页默认光标上（如确认订购页，应停留在取消上）"
7216,四川后台管理系统4.0优化,Bug,,待升级,中,epg:体验卡，激活成功页面，未过期的显示已过期（未记录失效时间）,夏 志远,曾 宝亮,2016/3/2 15:56,epg,,2016/2/22,,,0,0,2016/2/22 17:48,2016/2/29 16:12,,功能类,一般,,,FALSE,
